number,DATA_EMISSAO,PEDC_DT_CHEGADA,P_PED_CLIENTE,ENTREGA_SIGE,V_TOTAL,V_FRETE,IPMP_VL_MEIO,DECODE(PVC.PEDC_SITUACAO.'C'.',IPI_SKU_ITEM,IPI_V_UNITARIO,IPI_DESC_ITEM
68,22/08/2016,22/08/2016 19:19:00,63624025,6362402501,147.3,7.9,147.3,Liquidado,465148,25,0
69,22/08/2016,22/08/2016 19:19:00,63624025,6362402501,147.3,7.9,147.3,Liquidado,519105,82.9,0
70,22/08/2016,22/08/2016 19:19:00,63624026,6362402601,829,19.9,379,Aberto,495692,899,"89,900,000"
71,22/08/2016,22/08/2016 19:19:00,63624026,6362402601,829,19.9,450,Aberto,495692,899,"89,900,000"
72,22/08/2016,22/08/2016 19:19:00,63624027,6362402701,806.9,17.9,806.9,Liquidado,596335,789,0
73,22/08/2016,22/08/2016 19:19:00,63624027,6362402702,64.8,4.9,64.8,Liquidado,549714,59.9,0
74,22/08/2016,22/08/2016 19:19:00,63624034,6362403401,156.8,6.9,156.8,Liquidado,589535,149.9,0
75,22/08/2016,22/08/2016 19:19:45,49891947,4989194701,69.2,3.44,69.2,Liquidado,403296,65.76,0
76,22/08/2016,22/08/2016 19:20:00,63624036,6362403601,1329,0,1329,Liquidado,532879,1329,0
77,22/08/2016,22/08/2016 19:20:00,63624038,6362403801,49,14,49,Aberto,34158,35,0
78,22/08/2016,22/08/2016 19:20:00,63624039,6362403901,427.9,38,427.9,Liquidado,589114,389.9,0
79,22/08/2016,22/08/2016 19:20:00,63624041,6362404101,930.9,52,930.9,Liquidado,395372,928.9,"50,000,000"
80,22/08/2016,22/08/2016 19:20:00,63624042,6362404201,67.55,9,67.55,Liquidado,374796,58.55,0
81,22/08/2016,22/08/2016 19:20:00,63624042,6362404202,140,8,140,Liquidado,361790,132,0
82,22/08/2016,22/08/2016 19:20:00,63624044,6362404401,77.8,7.9,77.8,Liquidado,459895,69.9,0
83,22/08/2016,22/08/2016 19:21:00,63624045,6362404501,171.9,12.9,171.9,Liquidado,348609,159,0
84,22/08/2016,22/08/2016 19:21:00,63624046,6362404601,1178,29,1178,Aberto,388782,1149,0
85,22/08/2016,22/08/2016 19:21:00,63624047,6362404701,701.9,23.9,701.9,Liquidado,590005,678,0
86,22/08/2016,22/08/2016 19:21:00,63624054,6362405401,634.2,15,634.2,Liquidado,583291,172,"17,200,000"
87,22/08/2016,22/08/2016 19:21:00,63624055,6362405501,1091.4,15,1091.4,Liquidado,497390,299,"29,900,000"
88,22/08/2016,22/08/2016 19:21:00,63624057,6362405701,1730.9,101,1730.9,Liquidado,110615,1679.9,"50,000,000"
89,22/08/2016,22/08/2016 19:21:00,63624058,6362405801,789,0,789,Liquidado,589887,789,0
90,22/08/2016,22/08/2016 19:22:00,63624062,6362406201,878.1,14.98,878.1,Aberto,489167,239.75,"23,970,000"
91,22/08/2016,22/08/2016 19:22:00,63624063,6362406301,351,22,351,Liquidado,384169,329,0
92,22/08/2016,22/08/2016 19:22:00,63624064,6362406401,408.99,19.99,408.99,Liquidado,585851,389,0
93,22/08/2016,22/08/2016 19:22:00,63624065,6362406501,396.9,22,396.9,Liquidado,578664,374.9,0
94,22/08/2016,22/08/2016 19:22:00,63624067,6362406701,899,0,899,Liquidado,595984,899,0
95,22/08/2016,22/08/2016 19:22:00,63624068,6362406801,114.41,10,114.41,Aberto,443563,109.9,"5,490,000"
96,22/08/2016,22/08/2016 19:22:00,63624069,6362406901,1157.9,8.9,1157.9,Liquidado,592630,1149,0
97,22/08/2016,22/08/2016 19:22:00,63624070,6362407001,60.63,5,60.63,Aberto,374796,58.55,"2,920,000"
98,22/08/2016,22/08/2016 19:22:00,63624071,6362407101,31.39,1.99,31.39,Aberto,107337,9.8,0
99,22/08/2016,22/08/2016 19:22:00,63624072,6362407201,69,11,69,Liquidado,357080,58,0
100,22/08/2016,22/08/2016 19:22:00,63624073,6362407301,1149,0,1149,Liquidado,592630,1149,0
101,22/08/2016,22/08/2016 19:22:00,63624075,6362407501,181.9,12.9,181.9,Liquidado,364365,169,0
102,22/08/2016,22/08/2016 19:22:00,63624076,6362407601,69.8,9.9,69.8,Liquidado,549714,59.9,0
103,22/08/2016,22/08/2016 19:22:00,63624077,6362407701,281.9,55,281.9,Aberto,578660,226.9,0
104,22/08/2016,22/08/2016 19:23:00,63624078,6362407801,1514.9,15.9,1514.9,Liquidado,586858,1499,0
105,22/08/2016,22/08/2016 19:23:00,63624079,6362407901,68.12,6,68.12,Liquidado,386387,11.8,0.94
106,22/08/2016,22/08/2016 19:23:00,63624079,6362407901,68.12,6,68.12,Liquidado,405480,11.9,0.95
107,22/08/2016,22/08/2016 19:23:00,63624079,6362407901,68.12,6,68.12,Liquidado,443734,14.9,"1,190,000"
108,22/08/2016,22/08/2016 19:23:00,63624079,6362407901,68.12,6,68.12,Liquidado,479645,5.2,0.41
109,22/08/2016,22/08/2016 19:23:00,63624081,6362408101,0,0,2399,Cancelado,532886,2399,0
110,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,91109,41.9,0
111,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,380675,54.9,0
112,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,417507,10.9,0
113,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,445831,47.9,0
114,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,544201,29.9,0
115,22/08/2016,22/08/2016 19:23:00,63624083,6362408301,247.1,30.9,247.1,Liquidado,594948,8.9,0
116,22/08/2016,22/08/2016 19:23:00,63624084,6362408401,53.9,6,53.9,Aberto,555921,47.9,0
117,22/08/2016,22/08/2016 19:23:00,63624087,6362408701,1344,15,1344,Liquidado,532879,1329,0
118,22/08/2016,22/08/2016 19:23:00,63624089,6362408901,1507.9,8.9,1507.9,Liquidado,596248,1499,0
119,22/08/2016,22/08/2016 19:23:00,63624090,6362409001,62.8,7.9,62.8,Liquidado,380732,54.9,0
120,22/08/2016,22/08/2016 19:23:00,63624092,6362409201,1083.9,25.9,1083.9,Liquidado,588406,529,0
121,22/08/2016,22/08/2016 19:23:00,63624093,6362409301,1117.9,8.9,1117.9,Liquidado,543797,1109,0
122,22/08/2016,22/08/2016 19:24:00,63624100,6362410001,159.9,10,159.9,Liquidado,572498,149.9,0
123,22/08/2016,22/08/2016 19:24:00,63624101,6362410101,0,0,31.39,Cancelado,107337,9.8,0
124,22/08/2016,22/08/2016 19:24:00,63624104,6362410401,805.9,58,805.9,Liquidado,342166,747.9,0
125,22/08/2016,22/08/2016 19:24:00,63624107,6362410701,771.9,22,771.9,Liquidado,544234,749.9,0
126,22/08/2016,22/08/2016 19:24:00,63624108,6362410801,3073.64,194,3073.64,Liquidado,578682,799.9,"79,990,000"
127,22/08/2016,22/08/2016 19:25:00,63624109,6362410901,92.8,7.9,92.8,Liquidado,542213,84.9,0
128,22/08/2016,22/08/2016 19:25:00,63624110,6362411001,1322.9,23.9,1322.9,Liquidado,590392,1299,0
129,22/08/2016,22/08/2016 19:25:00,63624111,6362411101,6014.4,15.9,3000,Aberto,589632,2999.25,0
130,22/08/2016,22/08/2016 19:25:00,63624111,6362411101,6014.4,15.9,3014.4,Aberto,589632,2999.25,0
131,22/08/2016,22/08/2016 19:25:00,63624113,6362411301,2419,20,2419,Liquidado,532886,2399,0
132,22/08/2016,22/08/2016 19:25:00,63624115,6362411501,463,15,463,Liquidado,409716,448,0
133,22/08/2016,22/08/2016 19:25:00,63624116,6362411601,216.85,6,216.85,Liquidado,549744,210.85,0
134,22/08/2016,22/08/2016 19:25:00,63624117,6362411701,235.91,20,235.91,Liquidado,489165,239.9,"23,990,000"
135,22/08/2016,22/08/2016 19:25:00,63624118,6362411801,986.1,14.98,986.1,Aberto,489171,269.75,"26,970,000"
136,22/08/2016,22/08/2016 19:25:00,63624119,6362411901,57.51,0,57.51,Liquidado,537383,63.89,"6,380,000"
137,22/08/2016,22/08/2016 19:25:00,63624119,6362411902,121.77,0,121.77,Liquidado,402605,63.4,"6,340,000"
138,22/08/2016,22/08/2016 19:25:00,63624119,6362411902,121.77,0,121.77,Liquidado,437216,71.9,"7,190,000"
139,22/08/2016,22/08/2016 19:25:00,63624119,6362411903,137.61,0,137.61,Liquidado,402512,74.99,"7,490,000"
140,22/08/2016,22/08/2016 19:25:00,63624119,6362411903,137.61,0,137.61,Liquidado,479014,77.9,"7,790,000"
141,22/08/2016,22/08/2016 19:25:00,63624121,6362412101,619.2,0,619.2,Aberto,583291,172,"17,200,000"
142,22/08/2016,22/08/2016 19:25:00,63624122,6362412201,834.9,15.9,834.9,Liquidado,588403,819,0
143,22/08/2016,22/08/2016 19:25:00,63624123,6362412301,0,0,892.8,Cancelado,594822,874.9,0
144,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,34351,271.75,0
145,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,244770,102.3,0
146,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,343314,78.99,0
147,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,413790,56.51,0
148,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,424749,4.57,0
149,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,434849,49.13,0
150,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,434850,16,0
151,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,472728,64.44,0
152,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,525200,21.17,0
153,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,525842,15.39,0
154,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,545347,38.25,0
155,22/08/2016,22/08/2016 19:25:39,,97506,1400,0,,Aberto,589688,142.24,0
156,22/08/2016,22/08/2016 19:26:00,63624126,6362412601,131.21,8,131.21,Liquidado,91922,136.9,"13,690,000"
157,22/08/2016,22/08/2016 19:26:00,63624127,6362412701,90.9,3,90.9,Liquidado,444696,87.9,0
158,22/08/2016,22/08/2016 19:26:00,63624128,6362412801,563,14,563,Liquidado,1526,549,0
159,22/08/2016,22/08/2016 19:26:00,63624129,6362412901,299.9,60,299.9,Aberto,19198,239.9,0
160,22/08/2016,22/08/2016 19:27:00,63624130,6362413001,900.8,25.9,900.8,Liquidado,594822,874.9,0
161,22/08/2016,22/08/2016 19:27:00,63624131,6362413101,635.99,26.99,635.99,Liquidado,480046,609,0
162,22/08/2016,22/08/2016 19:28:00,63624137,6362413701,208,23,208,Liquidado,479162,185,0
163,22/08/2016,22/08/2016 19:28:00,63624138,6362413801,1099,0,1099,Liquidado,480545,1099,0
164,22/08/2016,22/08/2016 19:28:00,63624140,6362414001,1309.9,10,1309.9,Liquidado,590295,1299.9,0
165,22/08/2016,22/08/2016 19:28:00,63624144,6362414401,899,0,899,Liquidado,595984,899,0
166,22/08/2016,22/08/2016 19:28:00,63624146,6362414601,529,0,529,Liquidado,588405,529,0
167,22/08/2016,22/08/2016 19:28:00,63624147,6362414701,32.9,6,32.9,Liquidado,380786,26.9,0
168,22/08/2016,22/08/2016 19:28:00,63624148,6362414801,1339,10,1339,Liquidado,532879,1329,0
169,22/08/2016,22/08/2016 19:28:00,63624149,6362414901,389.1,30,389.1,Liquidado,276847,399,"39,900,000"
170,22/08/2016,22/08/2016 19:28:00,63624150,6362415001,298,0,298,Liquidado,504533,298,0
171,22/08/2016,22/08/2016 19:28:00,63624150,6362415002,195.21,0,195.21,Aberto,418898,216.9,"21,690,000"
172,22/08/2016,22/08/2016 19:28:00,63624153,6362415301,90.9,11,90.9,Liquidado,462510,79.9,0
173,22/08/2016,22/08/2016 19:29:00,63624151,6362415101,316.9,8,316.9,Liquidado,590796,308.9,0
174,22/08/2016,22/08/2016 19:29:00,63624156,6362415601,114.41,10,114.41,Liquidado,443563,109.9,"5,490,000"
175,22/08/2016,22/08/2016 19:29:00,63624157,6362415701,357.9,22,357.9,Aberto,384169,335.9,0
176,22/08/2016,22/08/2016 19:29:00,63624158,6362415801,527,29,527,Liquidado,366498,498,0
177,22/08/2016,22/08/2016 19:29:00,63624163,6362416301,299,0,299,Liquidado,481403,299,0
178,22/08/2016,22/08/2016 19:30:00,63624166,6362416601,1334.9,86,1334.9,Liquidado,540654,1248.9,0
179,22/08/2016,22/08/2016 19:30:00,63624167,6362416701,329,0,329,Liquidado,408154,329,0
180,22/08/2016,22/08/2016 19:30:00,63624169,6362416901,665.48,68,665.48,Aberto,443454,331.93,"33,190,000"
181,22/08/2016,22/08/2016 19:30:00,63624171,6362417101,816,17,816,Liquidado,74807,799,0
182,22/08/2016,22/08/2016 19:30:00,63624172,6362417201,125.09,13.9,125.09,Liquidado,259893,9.43,0
183,22/08/2016,22/08/2016 19:30:00,63624172,6362417201,125.09,13.9,125.09,Liquidado,519104,82.9,0
184,22/08/2016,22/08/2016 19:30:00,63624175,6362417501,82.41,16,82.41,Liquidado,275676,69.9,"3,490,000"
185,22/08/2016,22/08/2016 19:30:00,63624178,6362417801,54.9,10,54.9,Liquidado,378963,44.9,0
186,22/08/2016,22/08/2016 19:30:00,63624179,6362417901,417.9,19.9,417.9,Liquidado,490413,199,0
187,22/08/2016,22/08/2016 19:30:00,63624180,6362418001,1044.05,0,1044.05,Liquidado,480713,1099,"54,950,000"
188,22/08/2016,22/08/2016 19:30:00,63624181,6362418101,27.5,5,27.5,Aberto,374747,7.5,0
189,22/08/2016,22/08/2016 19:31:00,63624183,6362418301,1022.64,15,1022.64,Liquidado,489171,279.9,"27,990,000"
190,22/08/2016,22/08/2016 19:31:00,63624191,6362419101,246.91,13,246.91,Liquidado,462478,259.9,"25,990,000"
191,22/08/2016,22/08/2016 19:32:00,63624192,6362419201,577,39,577,Liquidado,415549,538,0
192,22/08/2016,22/08/2016 19:32:00,63624195,6362419501,388,10,388,Liquidado,453135,378,0
193,22/08/2016,22/08/2016 19:32:00,63624197,6362419701,84.9,15,84.9,Liquidado,363888,69.9,0
194,22/08/2016,22/08/2016 19:32:00,63624199,6362419901,1511.9,12.9,1511.9,Aberto,586858,1499,0
195,22/08/2016,22/08/2016 19:32:00,63624201,6362420101,2014.9,15.9,2014.9,Liquidado,525626,1999,0
196,22/08/2016,22/08/2016 19:32:00,63624202,6362420201,116.9,6,116.9,Liquidado,405044,110.9,0
197,22/08/2016,22/08/2016 19:32:00,63624203,6362420301,1054.8,15,1054.8,Liquidado,590094,519.9,0
198,22/08/2016,22/08/2016 19:32:00,63624204,6362420401,411,12,411,Liquidado,438960,399,0
199,22/08/2016,22/08/2016 19:32:00,63624205,6362420501,1198.9,0,1198.9,Aberto,232976,1198.9,0
200,22/08/2016,22/08/2016 19:32:00,63624206,6362420601,50.82,7,50.82,Aberto,425620,21.91,0
201,22/08/2016,22/08/2016 19:32:00,63624207,6362420701,517,19,517,Liquidado,543787,498,0
202,22/08/2016,22/08/2016 19:33:00,63624211,6362421101,84.9,5,84.9,Liquidado,506246,79.9,0
203,22/08/2016,22/08/2016 19:33:00,63624212,6362421201,0,0,135.9,Cancelado,592408,113.9,0
204,22/08/2016,22/08/2016 19:33:00,63624213,6362421301,87.8,7.9,87.8,Aberto,492565,79.9,0
205,22/08/2016,22/08/2016 19:33:00,63624214,6362421401,224.9,26.9,224.9,Liquidado,498975,99,0
206,22/08/2016,22/08/2016 19:33:00,63624215,6362421501,571,43,571,Liquidado,111398,528,0
207,22/08/2016,22/08/2016 19:33:00,63624216,6362421601,325,16,325,Liquidado,587302,309,0
208,22/08/2016,22/08/2016 19:33:00,63624218,6362421801,965,67,965,Liquidado,126315,898,0
209,22/08/2016,22/08/2016 19:33:00,63624220,6362422001,899,0,899,Liquidado,595984,899,0
210,22/08/2016,22/08/2016 19:34:00,63624221,6362422101,411,12,411,Liquidado,438960,399,0
211,22/08/2016,22/08/2016 19:34:00,63624224,6362422401,510.99,14.99,510.99,Liquidado,6174,248,0
212,22/08/2016,22/08/2016 19:34:00,63624225,6362422501,437.9,8.9,437.9,Liquidado,588898,429,0
213,22/08/2016,22/08/2016 19:34:00,63624228,6362422801,814.9,25.9,814.9,Liquidado,596335,789,0
214,22/08/2016,22/08/2016 19:34:00,63624230,6362423001,2014.9,15.9,2014.9,Liquidado,525622,1999,0
215,22/08/2016,22/08/2016 19:34:00,63624231,6362423101,171.9,12,171.9,Liquidado,91959,159.9,0
216,22/08/2016,22/08/2016 19:34:00,63624232,6362423201,1335.02,15.9,1335.02,Aberto,592114,1499,"179,880,000"
217,22/08/2016,22/08/2016 19:34:00,63624233,6362423301,811.2,13,811.2,Liquidado,423204,798.2,0
218,22/08/2016,22/08/2016 19:34:00,63624234,6362423401,899,0,899,Liquidado,595984,899,0
219,22/08/2016,22/08/2016 19:34:00,63624235,6362423501,269.8,10,269.8,Liquidado,596426,129.9,0
220,22/08/2016,22/08/2016 19:34:00,63624236,6362423601,1309.9,10,1309.9,Liquidado,590295,1299.9,0
221,22/08/2016,22/08/2016 19:34:00,63624237,6362423701,157.1,7,157.1,Liquidado,435394,158,"7,900,000"
222,22/08/2016,22/08/2016 19:34:00,63624238,6362423801,200.9,21,200.9,Aberto,526727,179.9,0
223,22/08/2016,22/08/2016 19:35:00,63624239,6362423901,791.9,12.9,791.9,Liquidado,596423,779,0
224,22/08/2016,22/08/2016 19:35:00,63624240,6362424001,1318,20,1318,Liquidado,25133,1298,0
225,22/08/2016,22/08/2016 19:35:00,63624241,6362424101,259.8,0,259.8,Liquidado,538364,129.9,0
226,22/08/2016,22/08/2016 19:35:00,63624242,6362424201,134.9,5,134.9,Aberto,596426,129.9,0
227,22/08/2016,22/08/2016 19:35:00,63624243,6362424301,919,19.9,919,Liquidado,480040,999,"99,900,000"
228,22/08/2016,22/08/2016 19:35:00,63624243,6362424302,149.9,80,149.9,Liquidado,437171,69.9,0
229,22/08/2016,22/08/2016 19:35:00,63624244,6362424401,914.9,15.9,914.9,Liquidado,542574,899,0
230,22/08/2016,22/08/2016 19:35:00,63624245,6362424501,1514.9,15.9,1514.9,Liquidado,586859,1499,0
231,22/08/2016,22/08/2016 19:35:00,63624246,6362424601,1211.9,13,1211.9,Liquidado,232976,1198.9,0
232,22/08/2016,22/08/2016 19:36:00,63624251,6362425101,2399,0,2399,Liquidado,544214,2399,0
233,22/08/2016,22/08/2016 19:36:00,63624252,6362425201,188.1,0,188.1,Aberto,553,99,"4,950,000"
234,22/08/2016,22/08/2016 19:36:00,63624253,6362425301,86.1,15,86.1,Liquidado,379727,71.1,0
235,22/08/2016,22/08/2016 19:36:00,63624254,6362425401,130,11,130,Liquidado,535846,119,0
236,22/08/2016,22/08/2016 19:36:00,63624255,6362425501,58.89,9.99,58.89,Liquidado,98712,48.9,0
237,22/08/2016,22/08/2016 19:36:00,63624256,6362425601,165.9,16,165.9,Liquidado,534289,149.9,0
238,22/08/2016,22/08/2016 19:36:00,63624257,6362425701,3214,26,3214,Liquidado,477780,3188,0
239,22/08/2016,22/08/2016 19:36:00,63624258,6362425801,1314.9,15.9,1314.9,Liquidado,590392,1299,0
240,22/08/2016,22/08/2016 19:36:00,63624260,6362426001,902.9,23.9,902.9,Liquidado,596872,879,0
241,22/08/2016,22/08/2016 19:36:00,63624262,6362426201,707.9,8.9,707.9,Liquidado,588816,699,0
242,22/08/2016,22/08/2016 19:37:00,63624263,6362426301,66.7,6.9,66.7,Liquidado,507574,29.9,0
243,22/08/2016,22/08/2016 19:37:00,63624264,6362426401,1286.93,63,1286.93,Liquidado,540654,1248.9,"24,970,000"
244,22/08/2016,22/08/2016 19:37:00,63624265,6362426501,1128.99,29.99,1128.99,Liquidado,587928,1099,0
